Date_SK,Date,Day,Month,Month_Name,Quarter,Year,Week,Day_Name,Is_Weekend
219,2015-08-07 0:00:00,7,8,August,3,2015,32,Friday,0
220,2015-08-08 0:00:00,8,8,August,3,2015,32,Saturday,1
221,2015-08-09 0:00:00,9,8,August,3,2015,32,Sunday,1
222,2015-08-10 0:00:00,10,8,August,3,2015,33,Monday,0
223,2015-08-11 0:00:00,11,8,August,3,2015,33,Tuesday,0
224,2015-08-12 0:00:00,12,8,August,3,2015,33,Wednesday,0
225,2015-08-13 0:00:00,13,8,August,3,2015,33,Thursday,0
226,2015-08-14 0:00:00,14,8,August,3,2015,33,Friday,0
227,2015-08-15 0:00:00,15,8,August,3,2015,33,Saturday,1
228,2015-08-16 0:00:00,16,8,August,3,2015,33,Sunday,1
229,2015-08-17 0:00:00,17,8,August,3,2015,34,Monday,0
230,2015-08-18 0:00:00,18,8,August,3,2015,34,Tuesday,0
231,2015-08-19 0:00:00,19,8,August,3,2015,34,Wednesday,0
232,2015-08-20 0:00:00,20,8,August,3,2015,34,Thursday,0
233,2015-08-21 0:00:00,21,8,August,3,2015,34,Friday,0
234,2015-08-22 0:00:00,22,8,August,3,2015,34,Saturday,1
235,2015-08-23 0:00:00,23,8,August,3,2015,34,Sunday,1
236,2015-08-24 0:00:00,24,8,August,3,2015,35,Monday,0
237,2015-08-25 0:00:00,25,8,August,3,2015,35,Tuesday,0
238,2015-08-26 0:00:00,26,8,August,3,2015,35,Wednesday,0
239,2015-08-27 0:00:00,27,8,August,3,2015,35,Thursday,0
240,2015-08-28 0:00:00,28,8,August,3,2015,35,Friday,0
241,2015-08-29 0:00:00,29,8,August,3,2015,35,Saturday,1
242,2015-08-30 0:00:00,30,8,August,3,2015,35,Sunday,1
243,2015-08-31 0:00:00,31,8,August,3,2015,36,Monday,0
244,2015-09-01 0:00:00,1,9,September,3,2015,36,Tuesday,0
245,2015-09-02 0:00:00,2,9,September,3,2015,36,Wednesday,0
246,2015-09-03 0:00:00,3,9,September,3,2015,36,Thursday,0
247,2015-09-04 0:00:00,4,9,September,3,2015,36,Friday,0
248,2015-09-05 0:00:00,5,9,September,3,2015,36,Saturday,1
249,2015-09-06 0:00:00,6,9,September,3,2015,36,Sunday,1
250,2015-09-07 0:00:00,7,9,September,3,2015,37,Monday,0
251,2015-09-08 0:00:00,8,9,September,3,2015,37,Tuesday,0
252,2015-09-09 0:00:00,9,9,September,3,2015,37,Wednesday,0
253,2015-09-10 0:00:00,10,9,September,3,2015,37,Thursday,0
254,2015-09-11 0:00:00,11,9,September,3,2015,37,Friday,0
255,2015-09-12 0:00:00,12,9,September,3,2015,37,Saturday,1
256,2015-09-13 0:00:00,13,9,September,3,2015,37,Sunday,1
257,2015-09-14 0:00:00,14,9,September,3,2015,38,Monday,0
258,2015-09-15 0:00:00,15,9,September,3,2015,38,Tuesday,0
259,2015-09-16 0:00:00,16,9,September,3,2015,38,Wednesday,0
260,2015-09-17 0:00:00,17,9,September,3,2015,38,Thursday,0
261,2015-09-18 0:00:00,18,9,September,3,2015,38,Friday,0
262,2015-09-19 0:00:00,19,9,September,3,2015,38,Saturday,1
263,2015-09-20 0:00:00,20,9,September,3,2015,38,Sunday,1
264,2015-09-21 0:00:00,21,9,September,3,2015,39,Monday,0
265,2015-09-22 0:00:00,22,9,September,3,2015,39,Tuesday,0
266,2015-09-23 0:00:00,23,9,September,3,2015,39,Wednesday,0
267,2015-09-24 0:00:00,24,9,September,3,2015,39,Thursday,0
268,2015-09-25 0:00:00,25,9,September,3,2015,39,Friday,0
269,2015-09-26 0:00:00,26,9,September,3,2015,39,Saturday,1
270,2015-09-27 0:00:00,27,9,September,3,2015,39,Sunday,1
271,2015-09-28 0:00:00,28,9,September,3,2015,40,Monday,0
272,2015-09-29 0:00:00,29,9,September,3,2015,40,Tuesday,0
273,2015-09-30 0:00:00,30,9,September,3,2015,40,Wednesday,0
274,2015-10-01 0:00:00,1,10,October,4,2015,40,Thursday,0
275,2015-10-02 0:00:00,2,10,October,4,2015,40,Friday,0
276,2015-10-03 0:00:00,3,10,October,4,2015,40,Saturday,1
277,2015-10-04 0:00:00,4,10,October,4,2015,40,Sunday,1
278,2015-10-05 0:00:00,5,10,October,4,2015,41,Monday,0
279,2015-10-06 0:00:00,6,10,October,4,2015,41,Tuesday,0
280,2015-10-07 0:00:00,7,10,October,4,2015,41,Wednesday,0
281,2015-10-08 0:00:00,8,10,October,4,2015,41,Thursday,0
282,2015-10-09 0:00:00,9,10,October,4,2015,41,Friday,0
283,2015-10-10 0:00:00,10,10,October,4,2015,41,Saturday,1
284,2015-10-11 0:00:00,11,10,October,4,2015,41,Sunday,1
285,2015-10-12 0:00:00,12,10,October,4,2015,42,Monday,0
286,2015-10-13 0:00:00,13,10,October,4,2015,42,Tuesday,0
287,2015-10-14 0:00:00,14,10,October,4,2015,42,Wednesday,0
288,2015-10-15 0:00:00,15,10,October,4,2015,42,Thursday,0
289,2015-10-16 0:00:00,16,10,October,4,2015,42,Friday,0
290,2015-10-17 0:00:00,17,10,October,4,2015,42,Saturday,1
291,2015-10-18 0:00:00,18,10,October,4,2015,42,Sunday,1
292,2015-10-19 0:00:00,19,10,October,4,2015,43,Monday,0
293,2015-10-20 0:00:00,20,10,October,4,2015,43,Tuesday,0
294,2015-10-21 0:00:00,21,10,October,4,2015,43,Wednesday,0
295,2015-10-22 0:00:00,22,10,October,4,2015,43,Thursday,0
296,2015-10-23 0:00:00,23,10,October,4,2015,43,Friday,0
297,2015-10-24 0:00:00,24,10,October,4,2015,43,Saturday,1
298,2015-10-25 0:00:00,25,10,October,4,2015,43,Sunday,1
299,2015-10-26 0:00:00,26,10,October,4,2015,44,Monday,0
300,2015-10-27 0:00:00,27,10,October,4,2015,44,Tuesday,0
301,2015-10-28 0:00:00,28,10,October,4,2015,44,Wednesday,0
302,2015-10-29 0:00:00,29,10,October,4,2015,44,Thursday,0
303,2015-10-30 0:00:00,30,10,October,4,2015,44,Friday,0
304,2015-10-31 0:00:00,31,10,October,4,2015,44,Saturday,1
305,2015-11-01 0:00:00,1,11,November,4,2015,44,Sunday,1
306,2015-11-02 0:00:00,2,11,November,4,2015,45,Monday,0
307,2015-11-03 0:00:00,3,11,November,4,2015,45,Tuesday,0
308,2015-11-04 0:00:00,4,11,November,4,2015,45,Wednesday,0
309,2015-11-05 0:00:00,5,11,November,4,2015,45,Thursday,0
310,2015-11-06 0:00:00,6,11,November,4,2015,45,Friday,0
311,2015-11-07 0:00:00,7,11,November,4,2015,45,Saturday,1
312,2015-11-08 0:00:00,8,11,November,4,2015,45,Sunday,1
313,2015-11-09 0:00:00,9,11,November,4,2015,46,Monday,0
